STN,YYYYMMDD,M,    P,    T,   DD,   FH,                  WW,   RH,              W2
 43,17280101,1,29012,  320,    W,   10,BET                 ,     ,
 43,17280101,2,29013,  360,    W,   10,BET                 ,     ,
 43,17280101,3,29022,  360,    W,   10,BET                 ,     ,
 43,17280102,1,29032,  370,   ZW,   10,BET                 ,     ,
 43,17280102,2,29033,  380,   ZW,   10,BET                 ,     ,
 43,17280102,3,29041,  350,   ZW,   10,BET                 ,     ,
 43,17280103,1,29040,  320,   ZW,   10,NEV                 ,     ,
 43,17280103,2,29032,  330,   ZW,   10,NEV                 ,     ,
 43,17280103,3,29030,  320,   ZW,   10,NEV                 ,     ,
 43,17280104,1,29022,  330,  NNO,    0,NEV                 ,     ,
 43,17280104,2,29021,  340,    O,    0,NEV                 ,     ,
 43,17280104,3,29020,  340,    Z,    0,NEV                 ,     ,
 43,17280105,1,29020,  330,    Z,    0,NEV                 ,   10,
 43,17280105,2,29012,  340,    Z,    0,NEV                 ,     ,
 43,17280105,3,29001,  340,    Z,    0,NEV                 ,     ,
 43,17280106,1,28112,  340,   NW,   10,NEV                 ,     ,
 43,17280106,2,28100,  360,   NW,   10,NEV                 ,     ,
 43,17280106,3,28081,  370,    N,   20,NEVREG              ,     ,
 43,17280107,1,28071,  390,    N,   20,REG                 ,     ,
 43,17280107,2,28043,  430,    N,   20,REG                 ,     ,
 43,17280107,3,28042,  400,    N,   20,                    ,   40,
 43,17280108,1,28042,  370,    O,   30,REG                 ,   10,
 43,17280108,2,28043,  380,    O,   30,HAG                 ,     ,
 43,17280108,3,28052,  370,    O,   30,HAG                 ,     ,
 43,17280109,1,28052,  360,   NW,    0,SNE                 ,     ,
 43,17280109,2,28052,  390,   NW,    0,SNE                 ,     ,
 43,17280109,3,28060,  360,   NW,    0,                    ,   20,
 43,17280110,1,28083,  360,   NW,    0,                    ,     ,
 43,17280110,2,28111,  400,    N,    0,                    ,     ,
 43,17280110,3,28113,  350,    N,    0,                    ,     ,
 43,17280111,1,29002,  340,    O,    0,NEV                 ,     ,
 43,17280111,2,29002,  360,  ONO,    0,NEV                 ,     ,
 43,17280111,3,28112,  350,  ONO,    0,NEV                 ,     ,
 43,17280112,1,28102,  330,   NW,    0,BET                 ,     ,
 43,17280112,2,28090,  340,   NW,    0,BET                 ,     ,
 43,17280112,3,28082,  330,   NW,    0,BET                 ,     ,
