Station,InUit2013,InUit2014,InUit2015,InUit2016,InUit2017,InUit2018
Abcoude,1625,1619,1579,1589,1870,2035
Akkrum,719,761,749,728,758,762
Alkmaar,19693,19512,18930,19620,20951,21026
Alkmaar Noord,4950,5066,4836,4723,4688,4792
Almelo,10908,10560,10618,10803,10860,8092
Almelo de Riet,1242,1277,1241,1339,1243,225
Almere Buiten,7304,6788,6458,6488,7314,7532
Almere Centrum,23334,24071,23784,24127,25888,27124
Almere Muziekwijk,6288,6516,6681,6807,6400,6420
Almere Oostvaarders,4285,4521,4630,4714,4327,4502
Almere Parkwijk,3907,3775,3584,3623,3109,3624
Almere Poort,2256,2725,3085,3717,4439,5243
Alphen aan den Rijn,10130,9977,9725,9930,10286,10759
Amersfoort,38279,39651,39675,40861,42604,43710
Amersfoort Schothorst,5642,5963,5762,5895,6412,7003
Amersfoort Vathorst,2559,2651,2583,2756,3218,3402
Amsterdam Amstel,28703,29549,28976,30570,31688,33717
Amsterdam Bijlmer ArenA,18961,21545,22684,23922,26427,28111
Amsterdam Centraal,168800,162103,167427,174179,184614,192178
Amsterdam Holendrecht,3176,3097,3227,3607,4304,4175
Amsterdam Lelylaan,12469,13502,14042,15551,14915,15836
Amsterdam Muiderpoort,11147,11594,11888,12907,13887,14148
Amsterdam RAI,6273,6460,6808,7161,6179,5993
Amsterdam Sciencepark,3225,3871,4117,4439,4464,4649
Amsterdam Sloterdijk,45194,47804,47615,50611,54330,58800
Amsterdam Zuid,41389,42265,43716,45771,54706,60819
Anna Paulowna,2333,2175,2137,2108,2121,2066
Apeldoorn,14015,14354,14628,14857,15034,14840
Apeldoorn Osseveld,1040,1090,1110,1164,1198,1267
Arnemuiden,488,470,461,467,500,517
Arnhem Centraal,38316,38442,39164,40588,42987,43677
Arnhem Presikhaaf,3162,3022,2829,2914,2769,2795
Arnhem Velperpoort,2227,2191,2066,2113,1999,1980
Arnhem Zuid,2790,2925,2909,3022,2917,3222
Assen,9229,9293,9136,8772,8323,8569
Baarn,4658,4520,4413,4465,4605,4621
Barendrecht,4973,5173,5226,5497,5484,5709
Beek-Elsloo,2258,2106,2028,1968,,
Beilen,2064,2126,2124,2080,2071,2121
Bergen op Zoom,7220,7015,6939,6963,6967,6979
Best,5322,5108,5263,5475,5726,6027
Beverwijk,6237,5823,5572,5782,5295,5239
Bilthoven,4380,4689,4771,4954,5140,5376
Blerick,1101,1195,1131,1119,1337,1445
Bloemendaal,1385,1258,1192,1343,1399,1438
Bodegraven,3005,2970,2924,3033,3159,3232
Borne,2348,2273,2272,2335,2193,338
Boskoop,1428,1396,1377,1425,1479,1370
Boskoop Snijdelwijk,,,,,,583
Bovenkarspel Flora,867,793,759,773,741,720
Bovenkarspel-Grootebroek,2399,2318,2301,2285,2213,2216
Boxtel,6325,6086,5917,5993,6887,6428
Breda,31029,30296,30554,32916,34414,35863
Breda Prinsenbeek,1260,1374,1589,1704,1559,1637
Breukelen,5058,5010,4997,5236,5449,5666
Brummen,1075,1004,1025,1057,1060,1068
Bunde,954,902,872,838,,
Bunnik,2005,2218,2131,1970,2284,2428
Bussum Zuid,3907,3898,3893,4199,4363,4452
Capelle Schollevaar,2242,2370,2311,2341,2298,2305
Castricum,7011,7050,7024,7287,7364,7493
Culemborg,8232,8382,8144,8277,8703,8935
De Vink,2783,3066,3146,3363,3253,3267
Delft,32049,31249,31630,34490,35454,38423
Delft Zuid,4668,4808,4688,4939,4276,4472
Den Dolder,1942,1839,1817,1784,1839,1898
Den Haag Centraal,71997,76216,77783,82057,87107,91437
Den Haag HS,38210,35603,34946,37124,32956,33612
